Day_of_week,Age_band_of_driver,Sex_of_driver,Educational_level,Driving_experience,Type_of_vehicle,Service_year_of_vehicle,Area_accident_occured,Lanes_or_Medians,Road_allignment,Types_of_Junction,Road_surface_type,Road_surface_conditions,Light_conditions,Weather_conditions,Type_of_collision,Number_of_vehicles_involved,Number_of_casualties,Vehicle_movement,Casualty_class,Sex_of_casualty,Age_band_of_casualty,Casualty_severity,Pedestrian_movement,Cause_of_accident,Accident_severity,Hour
Monday,18-30,Male,Above high school,1-2yr,Automobile,13.0,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with roadside-parked vehicles,2,2,Going straight,na,na,na,na,Not a Pedestrian,Moving Backward,Slight Injury,17
Monday,31-50,Male,Junior high school,Above 10yr,Public (> 45 seats),8.0,Office areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Going straight,na,na,na,na,Not a Pedestrian,Overtaking,Slight Injury,17
Sunday,18-30,Male,Junior high school,5-10yr,Public (> 45 seats),0.0,Office areas,other,Tangent road with mild grade and flat terrain,Y Shape,Earth roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,2,Going straight,Pedestrian,Female,18-30,3,Not a Pedestrian,Changing lane to the right,Slight Injury,1
Sunday,18-30,Male,Junior high school,2-5yr,Automobile,8.0, Industrial areas,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,2,Going straight,na,na,na,na,Not a Pedestrian,Overtaking,Slight Injury,1
Friday,18-30,Male,Junior high school,2-5yr,Automobile,13.0,Residential areas,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,U-Turn,na,na,na,na,Not a Pedestrian,No priority to vehicle,Slight Injury,17
Friday,18-30,Male,Junior high school,Above 10yr,Lorry (41?100Q),2.0, Industrial areas,other,Tangent road with flat terrain,Y Shape,Earth roads,Dry,Daylight,Normal,Collision with roadside-parked vehicles,2,1,Going straight,Pedestrian,Male,Under 18,3,Crossing from driver's nearside,Changing lane to the right,Slight Injury,17
Friday,18-30,Male,Junior high school,1-2yr,Automobile,5.0,Residential areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with roadside-parked vehicles,2,1,U-Turn,Passenger,Male,18-30,3,Not a Pedestrian,Moving Backward,Serious Injury,17
Saturday,18-30,Male,Above high school,1-2yr,Public (13?45 seats),0.0,Residential areas,other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with animals,2,1,Turnover,na,na,na,na,Not a Pedestrian,Changing lane to the left,Serious Injury,14
Saturday,31-50,Male,Above high school,No Licence,Automobile,0.0,Office areas,Undivided Two way,Tangent road with flat terrain,No junction,Earth roads,Dry,Daylight,Normal,Collision with animals,2,1,Going straight,Driver or rider,Male,18-30,3,Not a Pedestrian,No priority to pedestrian,Serious Injury,14
Thursday,18-30,Male,Junior high school,1-2yr,Public (> 45 seats),5.0,Office areas,Double carriageway (median),Escarpments,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with animals,2,2,Going straight,na,na,na,na,Not a Pedestrian,No distancing,Slight Injury,17
Thursday,31-50,Male,Junior high school,5-10yr,Lorry (41?100Q),13.0,Office areas,other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with animals,2,2,Waiting to go,na,na,na,na,Not a Pedestrian,No priority to vehicle,Slight Injury,17
Thursday,31-50,Male,Junior high school,Above 10yr,Automobile,2.0,Office areas,Undivided Two way,Escarpments,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with animals,2,2,Going straight,Driver or rider,Female,18-30,3,Not a Pedestrian,No distancing,Serious Injury,17
Monday,18-30,Female,Junior high school,Above 10yr,Lorry (11?40Q),0.0,Office areas,One way,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Collision with animals,2,3,Going straight,na,na,na,na,Not a Pedestrian,No distancing,Serious Injury,22
Monday,18-30,Male,Junior high school,5-10yr,Public (13?45 seats),0.0,Office areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Collision with animals,2,3,Going straight,na,na,na,na,Not a Pedestrian,Moving Backward,Slight Injury,22
Monday,18-30,Male,Elementary school,2-5yr,Public (13?45 seats),0.0,Office areas,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Collision with animals,2,3,Going straight,na,na,na,na,Not a Pedestrian,Changing lane to the right,Serious Injury,22
Monday,18-30,Male,Junior high school,2-5yr,Automobile,13.0,Residential areas,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Collision with animals,2,3,Moving Backward,na,na,na,na,Not a Pedestrian,No priority to pedestrian,Slight Injury,22
Tuesday,18-30,Male,Junior high school,Below 1yr,Long lorry,8.0,Residential areas,One way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with animals,2,1,Going straight,Driver or rider,Male,Under 18,3,Not a Pedestrian,Moving Backward,Serious Injury,8
Tuesday,Under 18,Male,Junior high school,2-5yr,Lorry (41?100Q),0.0,Other,One way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with animals,2,1,Going straight,na,na,na,na,Not a Pedestrian,Getting off the vehicle improperly,Slight Injury,8
Thursday,18-30,Male,Junior high school,2-5yr,Lorry (11?40Q),8.0, Church areas,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Collision with animals,1,1,Moving Backward,Driver or rider,Male,18-30,3,Not a Pedestrian,Overtaking,Serious Injury,15
Thursday,18-30,Male,Elementary school,5-10yr,Lorry (41?100Q),0.0,  Recreational areas,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Other,2,1,Getting off,Passenger,Female,31-50,3,Not a Pedestrian,Overloading,Serious Injury,12
Thursday,31-50,Male,Junior high school,Above 10yr,Public (12 seats),0.0, Industrial areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Rollover,2,1,Reversing,Passenger,Male,18-30,3,Not a Pedestrian,Changing lane to the right,Serious Injury,12
Wednesday,18-30,Male,Junior high school,2-5yr,Taxi,13.0,Residential areas,other,Tangent road with rolling terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Rollover,2,3,Going straight,Driver or rider,Female,31-50,3,Not a Pedestrian,Other,Slight Injury,18
Friday,18-30,Male,Above high school,2-5yr,Automobile,5.0,  Market areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with animals,1,1,Going straight,na,na,na,na,Not a Pedestrian,Changing lane to the right,Slight Injury,14
Tuesday,18-30,Male,Junior high school,1-2yr,Lorry (41?100Q),0.0, Industrial areas,other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Fall from vehicles,2,1,Going straight,Driver or rider,Male,18-30,2,Not a Pedestrian,Overspeed,Slight Injury,12
Monday,18-30,Male,Junior high school,2-5yr,Automobile,0.0,Residential areas,Two-way (divided with solid lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Collision with roadside-parked vehicles,1,1,Going straight,na,na,na,na,Not a Pedestrian,Changing lane to the left,Slight Injury,15
Thursday,18-30,Male,Junior high school,Above 10yr,Automobile,1.0,Residential areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with roadside-parked vehicles,1,1,Moving Backward,Driver or rider,Male,18-30,3,Not a Pedestrian,No priority to vehicle,Slight Injury,18
Thursday,18-30,Male,Junior high school,Below 1yr,Lorry (41?100Q),8.0,Other,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Rollover,2,1,Reversing,Passenger,Female,18-30,3,Not a Pedestrian,Changing lane to the right,Slight Injury,15
Saturday,Over 51,Male,Junior high school,Below 1yr,Automobile,2.0,Rural village areas,Undivided Two way,Gentle horizontal curve,O Shape,Asphalt roads,Dry,Daylight,Normal,Collision with animals,2,1,Going straight,Driver or rider,Female,18-30,3,Not a Pedestrian,No priority to pedestrian,Slight Injury,13
Saturday,18-30,Male,High school,5-10yr,Automobile,5.0,Rural village areas,Undivided Two way,Gentle horizontal curve,O Shape,Asphalt roads,Dry,Daylight,Normal,Fall from vehicles,2,1,Going straight,Pedestrian,Male,Under 18,3,Unknown or other,No distancing,Slight Injury,13
Friday,18-30,Male,Above high school,1-2yr,Taxi,0.0,Office areas,Double carriageway (median),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with roadside-parked vehicles,2,2,Going straight,na,na,na,na,Not a Pedestrian,No priority to vehicle,Slight Injury,20
Friday,Over 51,Male,Junior high school,Below 1yr,Automobile,5.0,Residential areas,Undivided Two way,Gentle horizontal curve,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with animals,2,2,Going straight,Driver or rider,Female,18-30,2,Not a Pedestrian,Other,Slight Injury,20
Friday,Over 51,Male,Junior high school,5-10yr,Automobile,0.0,Residential areas,other,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with animals,2,2,Going straight,na,na,na,na,Not a Pedestrian,Driving carelessly,Slight Injury,20
Sunday,Over 51,Male,High school,Below 1yr,Automobile,0.0, Outside rural areas,other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with pedestrians,2,1,Going straight,Driver or rider,Female,18-30,3,Not a Pedestrian,Changing lane to the left,Slight Injury,16
Sunday,31-50,Male,High school,Below 1yr,Pick up upto 10Q,13.0,Residential areas,other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Not a Pedestrian,Driving carelessly,Slight Injury,16
Sunday,31-50,Male,Junior high school,5-10yr,Automobile,8.0, Church areas,other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,2,Going straight,Driver or rider,Female,31-50,3,Not a Pedestrian,Changing lane to the left,Slight Injury,21
Sunday,18-30,Male,High school,2-5yr,Automobile,0.0,Office areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with pedestrians,2,2,Going straight,Driver or rider,Male,18-30,3,Not a Pedestrian,No priority to vehicle,Slight Injury,21
Wednesday,18-30,Male,Junior high school,Above 10yr,Public (12 seats),0.0,Office areas,Two-way (divided with broken lines road marking),Tangent road with mountainous terrain and,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Pedestrian,Male,Under 18,3,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,No distancing,Slight Injury,9
Wednesday,18-30,Male,Junior high school,Above 10yr,Public (13?45 seats),0.0,Office areas,Two-way (divided with broken lines road marking),Escarpments,Y Shape,Gravel roads,Dry,Daylight,Normal,Collision with roadside objects,2,1,Going straight,Driver or rider,Male,Under 18,3,Not a Pedestrian,Changing lane to the right,Slight Injury,9
Friday,31-50,Male,Junior high school,5-10yr,Lorry (11?40Q),5.0,Other,Undivided Two way,Tangent road with mountainous terrain and,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,na,na,na,na,Not a Pedestrian,Changing lane to the right,Serious Injury,14
Friday,31-50,Male,Junior high school,1-2yr,Stationwagen,5.0,Other,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Not a Pedestrian,Driving at high speed,Slight Injury,10
Friday,31-50,Male,Junior high school,Below 1yr,Ridden horse,0.0,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Female,18-30,3,Not a Pedestrian,No distancing,Slight Injury,10
Monday,18-30,Male,Junior high school,Below 1yr,Stationwagen,0.0,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Rollover,2,1,Going straight,na,na,na,na,Not a Pedestrian,Changing lane to the right,Slight Injury,18
Monday,18-30,Male,High school,2-5yr,Automobile,1.0,Other,Undivided Two way,Tangent road with mild grade and flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,18-30,2,Not a Pedestrian,Changing lane to the left,Slight Injury,18
Tuesday,18-30,Male,Junior high school,1-2yr,Automobile,8.0,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Other,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Female,Over 51,3,Not a Pedestrian,Getting off the vehicle improperly,Slight Injury,19
Tuesday,31-50,Male,Junior high school,5-10yr,Other,8.0,Other,Undivided Two way,Tangent road with flat terrain,Other,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Not a Pedestrian,Other,Slight Injury,19
Saturday,Over 51,Male,Elementary school,2-5yr,Taxi,5.0,Other,Double carriageway (median),Tangent road with mild grade and flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with pedestrians,2,3,Going straight,Driver or rider,Male,31-50,3,Not a Pedestrian,Other,Slight Injury,11
Saturday,31-50,Male,Elementary school,5-10yr,Automobile,0.0,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,3,Going straight,Driver or rider,Male,31-50,3,Not a Pedestrian,No distancing,Slight Injury,11
Saturday,31-50,Male,Junior high school,Above 10yr,Stationwagen,5.0, Church areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,3,Going straight,na,na,na,na,Not a Pedestrian,No priority to vehicle,Slight Injury,11
Thursday,18-30,Male,High school,5-10yr,Public (12 seats),5.0, Industrial areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Rollover,2,1,Going straight,Driver or rider,Male,31-50,3,Not a Pedestrian,No priority to pedestrian,Slight Injury,13
Thursday,31-50,Male,Junior high school,5-10yr,Automobile,0.0,Residential areas,Double carriageway (median),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Not a Pedestrian,No distancing,Slight Injury,13
Tuesday,Over 51,Male,Junior high school,1-2yr,Lorry (41?100Q),0.0,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Unknown,Gravel roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,18-30,3,Not a Pedestrian,Driving carelessly,Slight Injury,12
Friday,18-30,Male,Junior high school,2-5yr,Automobile,0.0, Industrial areas,Unknown,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Not a Pedestrian,Changing lane to the right,Slight Injury,12
Friday,31-50,Male,Junior high school,1-2yr,Public (> 45 seats),2.0, Industrial areas,Double carriageway (median),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Not a Pedestrian,Overtaking,Slight Injury,12
Sunday,31-50,Male,Junior high school,5-10yr,Automobile,0.0,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,1,Going straight,Driver or rider,Male,Under 18,3,Not a Pedestrian,Other,Slight Injury,16
Sunday,31-50,Male,Elementary school,5-10yr,Public (12 seats),13.0, Hospital areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Not a Pedestrian,Driving to the left,Slight Injury,16
Monday,18-30,Female,Junior high school,5-10yr,Public (12 seats),0.0,Office areas,One way,Tangent road with flat terrain,No junction,Earth roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Passenger,Female,Over 51,3,Not a Pedestrian,Driving at high speed,Slight Injury,18
Monday,31-50,Male,Junior high school,Above 10yr,Automobile,5.0, Church areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,1,Going straight,Passenger,Female,31-50,3,Not a Pedestrian,Unknown,Slight Injury,18
Wednesday,18-30,Male,Junior high school,2-5yr,Lorry (41?100Q),5.0,Other,Two-way (divided with broken lines road marking),Escarpments,No junction,Gravel roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Not a Pedestrian,Other,Slight Injury,13
